Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1578.460336815968,OUT049
FDW14,1447.3177714611438,OUT017
NCN55,574.7041750045021,OUT010
FDQ58,2490.8400340093053,OUT017
FDY38,5839.6446653173325,OUT027
FDH56,1943.978275137095,OUT046
FDL48,733.6329093675365,OUT018
FDC48,2207.568867358055,OUT027
FDN33,1534.2190791682788,OUT045
FDA36,3055.580389925967,OUT017
FDT44,1961.9972445527435,OUT017
FDQ56,1438.5017807217562,OUT045
NCC54,575.2619168305091,OUT019
FDU11,2016.141361653881,OUT049
DRL59,843.8196447167062,OUT013
FDM24,2476.2362203498474,OUT049
FDI57,3088.483645688393,OUT045
DRC12,3057.7986905650387,OUT018
NCM42,2927.79334525302,OUT027
FDA46,507.3390831037239,OUT010
FDA31,2865.3827530199183,OUT013
NCJ31,3870.0465633416384,OUT035
FDG52,730.0071579537916,OUT046
NCL19,289.12950438901,OUT019
FDS10,3022.0915494065953,OUT035
FDX22,563.1833419620158,OUT010
NCF19,729.2074066374596,OUT035
NCE06,2569.511967372765,OUT046
DRC27,3893.2274918002686,OUT046
FDE21,1941.8112166103308,OUT035
NCR42,130.80832360373316,OUT019
FDX51,3057.7986905650387,OUT018
NCR06,666.3359994098031,OUT018
FDU31,5842.378838088875,OUT027
FDU59,2571.100903887338,OUT017
FDR03,5839.6446653173325,OUT027
FDS49,2084.99418431259,OUT027
FDD48,269.47603574892446,OUT010
NCF18,3057.7986905650387,OUT017
NCD43,2865.8072322406824,OUT027
NCD54,2128.435874120482,OUT018
FDY19,270.09609814327064,OUT010
NCY54,2865.3827530199183,OUT017
NCL19,2468.529373765816,OUT018
FDP23,570.0497927831336,OUT010
FDC26,1702.23225930142,OUT013
FDR14,130.80832360373316,OUT010
NCS41,3055.580389925967,OUT035
FDF41,3912.593712099105,OUT035
FDU34,2016.141361653881,OUT046
DRH11,961.428112005549,OUT046
FDM03,1578.3798145566304,OUT013
FDS31,3024.3404727518605,OUT017
FDJ20,2016.141361653881,OUT017
FDV44,5105.14064994016,OUT027
FDG02,3055.580389925967,OUT049
FDA09,3001.273276122116,OUT013
FDT04,714.9677018082938,OUT013
FDL58,572.2657138703119,OUT019
FDE52,1484.0509373987072,OUT045
FDW12,2468.529373765816,OUT035
FDL51,3681.8274756827777,OUT017
NCY42,3037.233185936287,OUT027
FDR07,1534.2190791682788,OUT017
FDN40,2482.570997140523,OUT045
FDB35,2662.7366080950924,OUT027
FDA22,2571.100903887338,OUT017
NCL06,4075.431014024563,OUT046
FDI35,3024.3404727518605,OUT013
NCW42,3767.0597557551037,OUT045
NCX06,3003.600550269385,OUT049
FDC37,2907.1263369155004,OUT027
FDZ14,2016.141361653881,OUT018
DRG49,3890.837459772464,OUT049
NCG06,4034.910588622379,OUT045
DRC36,2865.3827530199183,OUT045
FDV21,280.59410498839765,OUT019
FDB53,2473.480509472889,OUT046
DRP47,572.5363766827621,OUT019
FDA14,2470.80674788163,OUT013
DRC24,2482.570997140523,OUT035
FDW21,1553.9341852086893,OUT018
NCH29,1534.2190791682788,OUT046
FDU58,3055.580389925967,OUT013
FDY27,2892.927555101359,OUT017
